accession,species,ploidy,domesticated
PI545916,Solanum_Brevicaule,4x,W
PI498300,Solanum_Brevicaule,4x,W
PI498298,Solanum_Chacoense,4x,W
PI473281,Solanum_Andigina,4x,LR
PI472944,Solanum_Kurtzianum,2x,W
PI458342,Solanum_Brevicaule,4x,W
PI365344,Solanum_Stenotomum,2x,LR
PI310994,Solanum_Medians,2x,W
PI281111,Solanum_Andigina,4x,LR
PI275138,Solanum_Chacoense,2x,W
PI245320,Solanum_Andigina,4x,LR
PI243371,Solanum_Andigina,4x,LR
PI234011,Solanum_Stenotomum,2x,LR
PI230503,Solanum_Brevicaule,2x,W
PI225677,Solanum_Phureja,2x,LR
PI195198,Solanum_Phureja,2x,LR